	ID	C	CnM	CM	CR
0	0	0.786559350714	0.509296958571	0.0736791302041	0.0656172522857
1	1	0.508571335714	0.628312940357	0.081963344898	0.0474214273333
2	2	0.37612827	0.451948211714	0.057588709898	0.0510611114286
3	3	0.696046875714	0.795955265214	0.0896728867347	0.066783788
4	4	0.491457308571	0.448086700714	0.091838775102	0.0435113977143
5	5	0.4256876	0.384627621429	0.0669414727551	0.0720157386667
6	6	0.536761577857	0.421293515	0.0877159173469	0.069455323619
7	7	0.475200585	0.514596712857	0.0620589622449	0.0467705630476
8	8	0.568475564286	0.502393877857	0.104308929592	0.0647864438095
9	9	0.404029183643	0.320337028571	0.106787423673	0.0692329445714
10	10	0.553604963571	0.379903762857	0.0857744668367	0.0546963511429
11	11	0.462702314286	0.357459087143	0.0869815247959	0.0356230789524
12	12	0.352809517143	0.517390235714	0.163234345918	0.0596489142857
13	13	0.398759284286	0.67163399	0.0753544643878	0.0720338475238
14	14	0.845149777143	0.436825077143	0.0950014255102	0.0804270445143
