	ID	CnM	CM	CR
0	0	0.451688892857	0.0548165959184	0.0425994511429
1	1	0.489245536429	0.0785014766327	0.0508204262857
2	2	0.380869277857	0.0569432622449	0.0304821572381
3	3	0.404447615	0.0581474197959	0.0455571247619
4	4	0.274849961429	0.0552725222449	0.0424767040571
5	5	0.307957435714	0.0842040086735	0.0520928045714
6	6	0.349432242857	0.0390632693878	0.0565081977143
7	7	0.359896440714	0.0550805673469	0.0422740219048
8	8	0.30008947	0.0887403376531	0.0608700082857
9	9	0.335607516429	0.0951735493878	0.0546004221905
